item_id,stratum,react_agent,cot_agent,aggregator,split
item_0000,medium,1,1,1,calibration
item_0001,medium,1,1,1,calibration
item_0002,medium,1,1,1,calibration
item_0003,medium,1,1,1,calibration
item_0004,short,1,1,1,calibration
item_0005,short,1,1,1,calibration
item_0006,short,0,1,1,calibration
item_0007,medium,1,1,0,calibration
item_0008,short,1,1,1,calibration
item_0009,long,0,0,0,calibration
item_0010,medium,0,0,0,calibration
item_0011,long,0,0,0,calibration
item_0012,short,1,1,1,calibration
item_0013,medium,1,1,1,calibration
item_0014,medium,1,1,0,calibration
item_0015,medium,1,1,0,calibration
item_0016,medium,1,0,1,calibration
item_0017,medium,0,1,1,calibration
item_0018,short,1,1,1,calibration
item_0019,short,1,1,1,calibration
item_0020,medium,1,1,1,calibration
item_0021,medium,1,1,1,calibration
item_0022,short,1,1,1,calibration
item_0023,medium,1,0,1,calibration
item_0024,medium,1,1,1,calibration
item_0025,short,1,1,1,calibration
item_0026,short,1,1,1,calibration
item_0027,medium,1,1,1,calibration
item_0028,long,0,1,1,calibration
item_0029,long,1,1,1,calibration
item_0030,long,1,1,0,calibration
item_0031,medium,1,1,0,calibration
item_0032,medium,0,1,1,calibration
item_0033,medium,0,0,0,calibration
item_0034,medium,1,1,1,calibration
item_0035,short,1,1,1,calibration
item_0036,long,0,1,1,calibration
item_0037,long,0,0,0,calibration
item_0038,medium,1,1,1,calibration
item_0039,medium,1,1,1,calibration
item_0040,medium,1,1,1,calibration
item_0041,short,1,1,1,calibration
item_0042,medium,1,1,1,calibration
item_0043,medium,1,1,1,calibration
item_0044,medium,0,1,1,calibration
item_0045,medium,1,1,1,calibration
item_0046,short,1,1,1,calibration
item_0047,short,1,1,1,calibration
item_0048,short,1,1,1,calibration
item_0049,medium,0,0,0,calibration
item_0050,long,1,1,1,calibration
item_0051,short,1,1,1,calibration
item_0052,long,0,0,0,calibration
item_0053,medium,1,0,1,calibration
item_0054,medium,1,0,1,calibration
item_0055,medium,1,1,1,calibration
item_0056,short,1,1,1,calibration
item_0057,short,1,1,1,calibration
item_0058,medium,1,1,1,calibration
item_0059,long,0,1,1,calibration
item_0060,medium,1,1,1,calibration
item_0061,medium,1,1,1,calibration
item_0062,long,1,1,1,calibration
item_0063,short,1,1,1,calibration
item_0064,short,1,1,1,calibration
item_0065,medium,1,1,1,calibration
item_0066,long,1,0,1,calibration
item_0067,short,1,1,1,calibration
item_0068,medium,1,1,0,calibration
item_0069,medium,1,1,0,calibration
item_0070,medium,0,1,1,calibration
item_0071,medium,1,1,1,calibration
item_0072,long,1,1,1,calibration
item_0073,long,1,1,1,calibration
item_0074,medium,1,1,1,calibration
item_0075,long,0,0,0,calibration
item_0076,long,0,1,1,calibration
